DATA,CONCELHO,VALOR,RT,ARS
2020-03-24,Abrantes,2.84,1.235713055,ARS LVT
2020-03-24,Águeda,6.52,1.259402969,ARS CENTRO
2020-03-24,Aguiar da Beira,0,1.259402969,ARS CENTRO
2020-03-24,Alandroal,0,1.128964835,ARS ALENTEJO
2020-03-24,Albergaria-a-Velha,20.72,1.259402969,ARS CENTRO
2020-03-24,Albufeira,12.1,1.145844785,ARS ALGARVE
2020-03-24,Alcácer do Sal,0,1.128964835,ARS ALENTEJO
2020-03-24,Alcanena,0,1.235713055,ARS LVT
2020-03-24,Alcobaça,0,1.235713055,ARS LVT
2020-03-24,Alcochete,15.27,1.235713055,ARS LVT
2020-03-24,Alcoutim,0,1.145844785,ARS ALGARVE
2020-03-24,Alenquer,0,1.235713055,ARS LVT
2020-03-24,Alfândega da Fé,0,1.355422661,ARS NORTE
2020-03-24,Alijó,0,1.355422661,ARS NORTE
2020-03-24,Aljezur,0,1.145844785,ARS ALGARVE
2020-03-24,Aljustrel,0,1.128964835,ARS ALENTEJO
2020-03-24,Almada,18.34,1.235713055,ARS LVT
2020-03-24,Almeida,0,1.259402969,ARS CENTRO
2020-03-24,Almeirim,0,1.235713055,ARS LVT
2020-03-24,Almodôvar,0,1.128964835,ARS ALENTEJO
2020-03-24,Alpiarça,0,1.235713055,ARS LVT
2020-03-24,Alter do Chão,0,1.128964835,ARS ALENTEJO
2020-03-24,Alvaiázere,0,1.259402969,ARS CENTRO
2020-03-24,Alvito,0,1.128964835,ARS ALENTEJO
2020-03-24,Amadora,11.48,1.235713055,ARS LVT
2020-03-24,Amarante,0,1.355422661,ARS NORTE
2020-03-24,Amares,0,1.355422661,ARS NORTE
2020-03-24,Anadia,0,1.259402969,ARS CENTRO
2020-03-24,Ansião,0,1.259402969,ARS CENTRO
2020-03-24,Arcos de Valdevez,14.32,1.355422661,ARS NORTE
2020-03-24,Arganil,0,1.259402969,ARS CENTRO
2020-03-24,Armamar,0,1.355422661,ARS NORTE
2020-03-24,Arouca,0,1.355422661,ARS NORTE
2020-03-24,Arraiolos,0,1.128964835,ARS ALENTEJO
2020-03-24,Arronches,0,1.128964835,ARS ALENTEJO
2020-03-24,Arruda dos Vinhos,0,1.235713055,ARS LVT
2020-03-24,Aveiro,7.66,1.259402969,ARS CENTRO
2020-03-24,Avis,0,1.128964835,ARS ALENTEJO
2020-03-24,Azambuja,0,1.235713055,ARS LVT
2020-03-24,Baião,0,1.355422661,ARS NORTE
2020-03-24,Barcelos,2.58,1.355422661,ARS NORTE
2020-03-24,Barrancos,0,1.128964835,ARS ALENTEJO
2020-03-24,Barreiro,6.64,1.235713055,ARS LVT
2020-03-24,Batalha,0,1.259402969,ARS CENTRO
2020-03-24,Beja,0,1.128964835,ARS ALENTEJO
2020-03-24,Belmonte,0,1.259402969,ARS CENTRO
2020-03-24,Benavente,0,1.235713055,ARS LVT
2020-03-24,Bombarral,0,1.235713055,ARS LVT
2020-03-24,Borba,0,1.128964835,ARS ALENTEJO
2020-03-24,Boticas,0,1.355422661,ARS NORTE
2020-03-24,Braga,11.52,1.355422661,ARS NORTE
2020-03-24,Bragança,11.91,1.355422661,ARS NORTE
2020-03-24,Cabeceiras de Basto,0,1.355422661,ARS NORTE
2020-03-24,Cadaval,0,1.235713055,ARS LVT
2020-03-24,Caldas da Rainha,0,1.235713055,ARS LVT
2020-03-24,Caminha,0,1.355422661,ARS NORTE
2020-03-24,Campo Maior,0,1.128964835,ARS ALENTEJO
2020-03-24,Cantanhede,0,1.259402969,ARS CENTRO
2020-03-24,Carrazeda de Ansiães,0,1.355422661,ARS NORTE
2020-03-24,Carregal do Sal,0,1.259402969,ARS CENTRO
2020-03-24,Cartaxo,16.81,1.235713055,ARS LVT
2020-03-24,Cascais,18.31,1.235713055,ARS LVT
2020-03-24,Castanheira de Pêra,0,1.259402969,ARS CENTRO
2020-03-24,Castelo Branco,0,1.259402969,ARS CENTRO
2020-03-24,Castelo de Paiva,0,1.355422661,ARS NORTE
2020-03-24,Castelo de Vide,0,1.128964835,ARS ALENTEJO
2020-03-24,Castro Daire,0,1.259402969,ARS CENTRO
2020-03-24,Castro Marim,0,1.145844785,ARS ALGARVE
