Data,confirmados_t,confirmados_d,obitos_t,obitos_d,internados_t,internados_d,uci_t,uci_d
2020-03-03,4,0,0,0,0,0,0,0
2020-03-04,6,2,0,0,0,0,0,0
2020-03-05,9,3,0,0,9,9,0,0
2020-03-06,13,4,0,0,13,4,0,0
2020-03-07,21,8,0,0,21,8,0,0
2020-03-08,30,9,0,0,30,9,0,0
2020-03-09,39,9,0,0,38,8,0,0
2020-03-10,41,2,0,0,40,2,0,0
2020-03-11,59,18,0,0,57,17,0,0
2020-03-12,78,19,0,0,69,12,0,0
2020-03-13,112,34,0,0,107,38,0,0
2020-03-14,169,57,0,0,114,7,10,10
2020-03-15,245,76,0,0,139,25,9,-1
2020-03-16,331,86,0,0,139,0,18,9
2020-03-17,448,117,1,1,206,67,17,-1
2020-03-18,642,194,1,0,89,-117,20,3
2020-03-19,785,143,3,2,89,0,20,0
2020-03-20,1020,235,6,3,126,37,26,6
2020-03-21,1280,260,12,6,156,30,35,9
2020-03-22,1600,320,14,2,169,13,41,6
2020-03-23,2060,460,23,9,201,32,47,6
2020-03-24,2362,302,33,10,203,2,48,1
2020-03-25,2995,633,43,10,276,73,61,13
2020-03-26,3544,549,60,17,191,-85,61,0
2020-03-27,4268,724,76,16,354,163,71,10
2020-03-28,5170,902,100,24,418,64,89,18
2020-03-29,5962,792,119,19,486,68,138,49
2020-03-30,6408,446,140,21,571,85,164,26
2020-03-31,7443,1035,160,20,627,56,188,24
2020-04-01,8251,808,187,27,726,99,230,42
2020-04-02,9034,783,209,22,1042,316,240,10
2020-04-03,9886,852,246,37,1058,16,245,5
2020-04-04,10524,638,266,20,1075,17,251,6
2020-04-05,11278,754,295,29,1084,9,267,16
2020-04-06,11730,452,311,16,1099,15,270,3
2020-04-07,12442,712,345,34,1180,81,271,1
2020-04-08,13141,699,380,35,1211,31,245,-26
2020-04-09,13956,815,409,29,1173,-38,241,-4
2020-04-10,15472,1516,435,26,1179,6,226,-15
2020-04-11,15987,515,470,35,1175,-4,233,7
2020-04-12,16585,598,504,34,1177,2,228,-5
2020-04-13,16934,349,535,31,1187,10,188,-40
2020-04-14,17448,514,567,32,1227,40,218,30
2020-04-15,18091,643,599,32,1200,-27,208,-10
2020-04-16,18841,750,629,30,1302,102,229,21
2020-04-17,19022,181,657,28,1284,-18,222,-7
2020-04-18,19685,663,687,30,1253,-31,228,6
2020-04-19,20206,521,714,27,1243,-10,224,-4
2020-04-20,20863,657,735,21,1208,-35,215,-9
2020-04-21,21379,516,762,27,1172,-36,213,-2
2020-04-22,21982,603,785,23,1146,-26,207,-6
2020-04-23,22353,371,820,35,1095,-51,204,-3
2020-04-24,22797,444,854,34,1068,-27,188,-16
2020-04-25,23271,474,880,26,1040,-28,186,-2
2020-04-26,23683,412,903,23,1005,-35,182,-4
2020-04-27,23846,163,928,25,995,-10,176,-6
2020-04-28,24141,295,948,20,936,-59,172,-4
2020-04-29,24324,183,973,25,980,44,169,-3
2020-04-30,24692,368,989,16,968,-12,172,3
2020-05-01,24987,295,1007,18,892,-76,154,-18
2020-05-02,25190,203,1023,16,855,-37,150,-4
2020-05-03,25282,92,1043,20,856,1,144,-6
2020-05-04,25524,242,1063,20,813,-43,143,-1
2020-05-05,25702,178,1074,11,818,5,134,-9
2020-05-06,26182,480,1089,15,838,20,136,2
2020-05-07,26715,533,1105,16,874,36,135,-1
2020-05-08,27268,553,1114,9,842,-32,127,-8
2020-05-09,27406,138,1126,12,815,-27,120,-7
2020-05-10,27581,175,1135,9,797,-18,112,-8
2020-05-11,27679,98,1144,9,805,8,112,0
2020-05-12,27913,234,1163,19,709,-96,113,1
2020-05-13,28132,219,1175,12,692,-17,103,-10
2020-05-14,28319,187,1184,9,680,-12,108,5
2020-05-15,28583,264,1190,6,673,-7,112,4
2020-05-16,28810,227,1203,13,657,-16,115,3
2020-05-17,29036,226,1218,15,649,-8,108,-7
2020-05-18,29209,173,1231,13,628,-21,105,-3
2020-05-19,29432,223,1247,16,629,1,101,-4
2020-05-20,29660,228,1263,16,609,-20,93,-8
2020-05-21,29912,252,1277,14,608,-1,92,-1
2020-05-22,30200,288,1289,12,576,-32,84,-8
2020-05-23,30471,271,1302,13,550,-26,80,-4
2020-05-24,30623,152,1316,14,536,-14,78,-2
2020-05-25,30788,165,1330,14,531,-5,72,-6
